city,state,country,latitude,longitude,coastal,koppen_climate,continent,total_population_metropolitan_area,total_population_metropolitan_area_citation,population_density_km2,population_density_km2 citation,land_area_km2,land_area_km2 citation ,elevation_above_sea_level_meters,ave_june_temp_celsius,number_of_hospitals ,number_of_hospitals citation,green_space_km2,number_sewage_treatment_plants,average_building_height_meters,average_income_of_resident,number_of_tourists_annually,number of tourist annually citation,peak_tourism_month,annual_mass_transit_ridership,average_age_of_residents,antimicrobial_usage
sao_paulo,State of Sao Paulo,Brazil ,-23.5475,-46.63611,no,humid_subtropical_climate,south_america,"22,237,000",https://www.macrotrends.net/cities/20287/sao-paulo/population,"7,216",https://worldpopulationreview.com/world-cities/sao-paulo-population,1493,https://www.britannica.com/place/Sao-Paulo-Brazil/Climate,760,18.6,5,https://en.wikipedia.org/wiki/List_of_hospitals_in_Brazil,,,,,14900000.00 ,https://cidadedesaopaulo.com/v2/pqsp/dados-e-fatos/?lang=en,,,,
kuala_lumpur,,Malaysia,3.1412,101.68653,no,tropical_rainforest_climate,east_asia,"8,211,000",https://www.macrotrends.net/cities/206411/kuala-lumpur/population?q=,"6,890",https://worldpopulationreview.com/world-cities/kuala-lumpur-population,243,https://worldpopulationreview.com/world-cities/kuala-lumpur-population,66,29.7,6,https://en.wikipedia.org/wiki/List_of_hospitals_in_Malaysia,,,,,13434300.00 ,https://www.worlddata.info/asia/malaysia/tourism.php,,,,
santiago,,Chile,-33.45694,-70.64827,no,warm-summer_mediterranean_climate,south_america,"6,812,000",https://www.macrotrends.net/cities/20439/santiago/population,"8,470",https://worldpopulationreview.com/countries/chile-population,641,https://en.wikipedia.org/wiki/Santiago,570,8.3,17,https://en.wikipedia.org/wiki/List_of_hospitals_in_Chile,,,,,,,,,,
lisbon,,Portugal,38.75382,-9.23083,yes,hot-summer_mediterranean_climate,europe,"2,972,000",https://www.macrotrends.net/cities/22167/lisbon/population,"5,000",https://www.newgeography.com/content/006049-the-evolving-urban-form-lisbon,100.05,https://www.worldscapitalcities.com/capital-facts-for-lisbon-portugal/,2,23.9,9,"https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&TRANS=Hospitals%20in%20Lisbon,%20Portugal&CON=Europe&COUNTRY=Portugal&CITY=Lisbon&choice=en",,,,,4500000.00 ,http://www.xinhuanet.com/english/2018-04/05/c_137088807.htm,,,,
san_francisco,California,USA,37.77493,-122.41942,yes,warm-summer_mediterranean_climate,north_america,"3,313,000",https://www.macrotrends.net/cities/23130/san-francisco/population,"7,270",https://worldpopulationreview.com/us-cities/san-francisco-ca-population,121.5,https://www.worldscapitalcities.com/capital-facts-for-lisbon-portugal/,16,15.6,38,https://www.vitals.com/hospital/ca/san-francisco,,,,,25800000.00 ,https://www.sftravel.com/article/san-francisco-travel-reports-record-breaking-tourism-levels-2018-gives-projections-2019,,,,
sendai,,Japan,38.25759,140.8667,yes,humid_subtropical_climate,east_asia,"2,335,000",https://www.macrotrends.net/cities/204582/sendai/population,"1,400",https://en.wikipedia.org/wiki/Sendai,786,https://www.worldscapitalcities.com/capital-facts-for-lisbon-portugal/,1500,22.2,1,https://en.wikipedia.org/wiki/List_of_hospitals_in_Japan,,,,,2000000.00 ,https://en.wikipedia.org/wiki/Sendai,,,,
rio_de_janeiro,State of Rio de Janeiro,Brazil ,-22.90278,-43.2075,yes,tropical_savanna_climate,south_america,"13,544,000",https://www.macrotrends.net/cities/20272/rio-de-janeiro/population,"5,377",https://worldpopulationreview.com/world-cities/rio-de-janeiro-population,1255,https://www.encyclopedia.com/places/latin-america-and-caribbean/south-american-political-geography/rio-de-janeiro,5,22.8,5,https://en.wikipedia.org/wiki/List_of_hospitals_in_Brazil,,,,,1300000.00 ,https://www.statista.com/statistics/976338/brazil-tourist-arrivals-destination-city/,,,,
sacramento,California,USA,38.58157,-121.4944,no,hot-summer_mediterranean_climate,north_america,"2,155,000",https://www.macrotrends.net/cities/23121/sacramento/population,"2,030","https://en.wikipedia.org/wiki/Sacramento,_California",253,"https://en.wikipedia.org/wiki/Sacramento,_California",9.1,23.6,11,https://en.wikipedia.org/wiki/List_of_hospitals_in_California,,,,,4300000.00 ,https://www.downtownsac.org/learn-about-downtown/,,,,
berlin,,Germany ,52.52437,13.41053,no,warm_humid_continental_climate,europe,"3,567,000",https://www.macrotrends.net/cities/204296/berlin/population,"4,227",https://en.wikipedia.org/wiki/Demographics_of_Berlin,891,https://www.worldscapitalcities.com/capital-facts-for-berlin-germany/,34,19.4,90,https://www.berlin-health-excellence.com/medical-facilities-berlin,,,,,135000000.00 ,https://en.wikipedia.org/wiki/Tourism_in_Germany,,,,
denver,Colorado,USA,39.73915,-104.9847,no,tropical_and_subtropical_steppe_climate,north_america,"2,862,000",https://www.macrotrends.net/cities/22972/denver/population,"1,887",https://worldpopulationreview.com/us-cities/denver-co-population,396.99,https://en.wikipedia.org/wiki/Denver,1600,20.3,13,https://en.wikipedia.org/wiki/List_of_hospitals_in_Colorado,,,,,31000000.00 ,https://www.denver.org/articles/post/denver-tourism-repeats-31m-visitors-in-2018/,,,,
